customer_id,customer_name,gender,age,city,state,region_id,segment,join_date
C00001,Advika Hari,Male,19,Kolkata,West Bengal,R003,Small Business,2025-05-08
C00002,Ayaan Vohra,Male,32,Pune,Maharashtra,R004,Consumer,2025-03-12
C00003,Ekiya Buch,Male,61,Bhubaneswar,Odisha,R003,Small Business,2024-12-08
C00004,Ranveer Parmar,Male,55,Lucknow,Uttar Pradesh,R001,Corporate,2024-02-13
C00005,Chakrika Parmer,Male,23,Hyderabad,Telangana,R002,Consumer,2023-10-23
C00006,Chanakya Roy,Male,53,Mumbai,Maharashtra,R004,Consumer,2024-01-21
C00007,Manan Basak,Female,32,Bhubaneswar,Odisha,R003,Corporate,2024-02-23
C00008,Samaksh Pillai,Female,18,Jaipur,Rajasthan,R001,Consumer,2024-12-26
C00009,Jeevika Anne,Female,39,Bhubaneswar,Odisha,R003,Corporate,2025-12-10
C00010,Ekantika Khalsa,Male,39,Chennai,Tamil Nadu,R002,Consumer,2024-03-13
C00011,Geetika Badami,Female,24,Bengaluru,Karnataka,R002,Corporate,2023-11-06
C00012,Akshay Wali,Female,56,Visakhapatnam,Andhra Pradesh,R002,Corporate,2025-02-16
C00013,Widisha Krishnamurthy,Male,64,Patna,Bihar,R003,Corporate,2023-12-03
C00014,Zilmil Sandal,Male,42,Lucknow,Uttar Pradesh,R001,Consumer,2026-01-17
C00015,Pallavi Bhagat,Female,58,Lucknow,Uttar Pradesh,R001,Small Business,2024-04-12
C00016,Jeremiah Nagarajan,Female,54,Visakhapatnam,Andhra Pradesh,R002,Consumer,2024-07-16
C00017,Shravya Borah,Male,20,Bhubaneswar,Odisha,R003,Small Business,2026-03-02
C00018,Nilima Samra,Female,23,Mumbai,Maharashtra,R004,Consumer,2026-03-08
C00019,Gaurangi Sandhu,Male,42,Visakhapatnam,Andhra Pradesh,R002,Corporate,2025-01-28
C00020,Indrajit Bava,Female,28,Noida,Uttar Pradesh,R001,Corporate,2024-04-21
C00021,Geetika Rajagopalan,Male,60,Ahmedabad,Gujarat,R004,Corporate,2025-10-22
C00022,Amol Baria,Male,56,Bhubaneswar,Odisha,R003,Small Business,2024-10-16
C00023,Aachal Bedi,Male,28,Chennai,Tamil Nadu,R002,Corporate,2026-05-04
